"filename", "language", "TypeScript", "JSON", "JSON with Comments", "JavaScript", "Pug", "CSS", "comment", "blank", "total"
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\app.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 6, 16, 82
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\dist\app.js", "JavaScript", 0, 0, 0, 65, 0, 0, 6, 1, 72
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\dist\models\Benchmark.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 1, 9
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\dist\models\Cluster.js", "JavaScript", 0, 0, 0, 127, 0, 0, 0, 1, 128
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\dist\models\Device.js", "JavaScript", 0, 0, 0, 52, 0, 0, 0, 1, 53
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\dist\models\ServiceRequest.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 1, 14
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\dist\public\stylesheets\style.css", "CSS", 0, 0, 0, 0, 0, 7, 0, 2, 9
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\dist\routes\auth.js", "JavaScript", 0, 0, 0, 75, 0, 0, 6, 1, 82
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\dist\routes\cluster.js", "JavaScript", 0, 0, 0, 41, 0, 0, 1, 1, 43
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\dist\routes\community.js", "JavaScript", 0, 0, 0, 148, 0, 0, 14, 1, 163
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\dist\routes\index.js", "JavaScript", 0, 0, 0, 11, 0, 0, 1, 1, 13
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\dist\routes\service.js", "JavaScript", 0, 0, 0, 101, 0, 0, 5, 1, 107
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\dist\routes\verify.js", "JavaScript", 0, 0, 0, 50, 0, 0, 0, 1, 51
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\dist\schema\Cluster.js", "JavaScript", 0, 0, 0, 30, 0, 0, 0, 1, 31
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\dist\schema\Community.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 1, 29
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\dist\schema\Device.js", "JavaScript", 0, 0, 0, 35, 0, 0, 0, 1, 36
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\dist\schema\Invitation.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 1, 24
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\dist\schema\Service.js", "JavaScript", 0, 0, 0, 37, 0, 0, 0, 1, 38
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\dist\schema\User.js", "JavaScript", 0, 0, 0, 38, 0, 0, 0, 1, 39
"d:\Masters\Multi-Access Edge Computing\Thesis\Enviornment\Server\dist\services\clusterManager.js", "JavaScript", 0, 0, 0, 113, 0, 0, 1, 1, 115
